# Laberinto 12x12 — 2026-06-01 19:12:22
Timestamp;Fecha;Tipo;Titular;RespuestaJugador;RespuestaCorrecta;Correcto;UsoInvestigar;TiempoRespuesta_s;TiempoTotal_s
19:12:42;2026-06-01;TotemRespuesta;Video de prueba 2;Falsa;Falsa;True;False;4,3;
19:13:01;2026-06-01;TotemRespuesta;Video de prueba;Real;Real;True;True;6,8;
19:13:09;2026-06-01;TotemRespuesta;Video de prueba;Real;Real;True;False;2,7;
19:13:18;2026-06-01;TotemRespuesta;Audio de prueba;Real;Real;True;False;1,6;
19:13:24;2026-06-01;TotemRespuesta;Audio de prueba;Falsa;Real;False;False;2,5;
19:13:31;2026-06-01;LaberintoCompletado;;;;;;;69,3
